2026-07-08 09:40:25,488 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:25,852 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:26,270 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:26,679 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:27,097 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:27,463 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:27,878 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:28,281 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:28,701 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:29,111 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:29,528 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:29,930 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:30,340 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:30,749 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:31,119 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:31,527 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:31,932 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:32,348 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:32,766 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:33,171 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:33,575 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:33,984 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:34,387 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:34,752 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:35,157 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:35,564 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:35,973 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:36,378 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:36,794 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:37,207 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:37,617 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:38,021 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:38,441 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:38,848 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:39,260 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:39,677 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:40,043 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:40,450 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:40,866 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:41,282 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:41,684 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:42,053 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:42,462 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:42,881 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:43,298 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:43,659 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:44,076 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:44,479 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:44,897 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:45,308 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:45,675 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:46,078 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:46,534 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:46,888 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:47,294 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:47,712 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:48,121 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:48,524 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:48,702 | INFO | lmsguard.requests | OPTIONS /platform/notifications -> 200 0.22ms
2026-07-08 09:40:48,702 | INFO | lmsguard.requests | GET /platform/notifications -> 200 4.23ms
2026-07-08 09:40:48,888 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:49,258 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:49,610 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:49,972 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:50,327 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:50,683 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:51,042 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:51,395 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:51,757 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:52,161 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:52,523 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:52,934 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:53,355 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:53,711 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:54,116 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:54,534 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:54,943 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:55,354 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:55,765 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:56,181 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:56,549 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:56,960 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:57,379 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:57,789 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:58,192 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:58,594 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:59,005 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:59,423 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:59,832 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:00,242 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:00,653 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:01,070 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:01,482 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:01,885 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:02,297 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:02,715 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:03,082 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:03,489 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:03,907 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:04,310 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:04,721 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:05,139 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:05,549 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:05,959 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:06,326 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:06,735 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:07,144 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:07,552 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:41:07,972 | INFO | watchfiles.main | 1 change detected
